Sub_W,Sub_L,Sub_H,Patch_W,Patch_L,Feed_W,Slot1_W,Slot1_L,Slot2_W,Slot2_L,Freq_GHz,Gain,Directivity,S11(dB),Rad_eff,Total_eff,VSWR
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,-19.970915,2.1242719,-0.087300358,0.006172787,0.00016055367,198.9903
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,-19.904069,144.15856,-0.22112039,3.92E-17,2.00E-18,78.566688
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-11.124083,1.3641108,-0.066106122,0.056387218,0.00079610701,262.78716
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-8.8414374,-0.42700615,-0.047943795,0.14406447,0.0015514566,362.33876
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.8286075,7.3236717,-1.0226657,0.89226443,0.1842673,17.006382
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.5056555,7.6360283,-22.83034,0.77083731,0.76711892,1.1556161
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.4468828,7.5110815,-1.5411154,0.78267259,0.2359658,11.301768
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,3.0884363,3.8640252,-1.9061634,0.83645217,0.29149122,9.1500252
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,3.8114936,4.7304309,-4.4445541,0.80929389,0.51113463,3.9934672
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,4.5337754,5.3974099,-5.1987818,0.8196653,0.57805388,3.2104659
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,4.6614993,5.9267313,-1.6173077,0.74726873,0.23517792,10.772187
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,4.2380629,4.9355985,-0.75104941,0.85162115,0.13535504,23.14442
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,0.059751463,1.1728913,-1.5750419,0.77390208,0.2324191,11.059614
5.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-1.8109259,-1.0815897,-8.3188151,0.84540805,0.72469832,2.2454867
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-46.009267,-25.732672,-2.1651013,0.000173629,6.79E-05,8.0650434
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-35.458804,-3.5988507,-1.0780432,0.000651635,0.00014832717,16.134854
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,-20.346713,-4.3343262,-0.14652083,0.025047323,0.00075521688,118.56471
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,47.690836,-2.9246046,0.053516498,115224.3,0.00115224,1
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-10.049308,-1.0337425,-0.061672322,0.12544213,0.001862679,281.68083
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-12.076222,0.0118425,-0.15439142,0.061829196,0.0022238007,112.52079
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.6546732,7.3794082,-1.0180365,0.84630421,0.17485036,17.083534
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.5971471,7.7074612,-24.762393,0.77440578,0.77172988,1.1226773
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.4364249,7.5808405,-1.5061688,0.76834884,0.2272019,11.56264
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,4.1631149,4.9086304,-2.360456,0.84226441,0.34507836,7.4047378
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,4.7308473,5.6208376,-5.4468751,0.8147061,0.57518623,3.2931482
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,5.4962923,6.1448554,-4.608515,0.86127867,0.5741923,3.8575131
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,5.1689665,6.3579546,-1.618993,0.76050346,0.23971174,10.761039
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,3.6871011,5.1521371,-1.0122425,0.7136683,0.14880746,17.181097
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,0.40103135,0.95022316,-1.5352347,0.88121285,0.25587965,11.344833
5.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-1.7090894,-0.79051272,-9.2122387,0.80936112,0.71575653,2.0592671
